,result,table,_start,_stop,_time,_measurement,epc,gate,reader,freq_count_1,freq_count_2,rssi_count_1,rssi_count_2,rssi_max_1,rssi_max_2,rssi_min_1,rssi_min_2,rssi_spread_1,rssi_spread_2,rssi_stdev_1,rssi_stdev_2,zone_1,zone_2
,,0,2025-01-14T08:36:00Z,2025-01-14T08:39:00Z,2025-01-14T08:36:04Z,read,EEA10001,Stellantis1,Stellantis1,3,4,7,5,-66,-70,-71,-76,5,6,2.563479777846623,2.3874672772626653,near,near
,,0,2025-01-14T08:36:00Z,2025-01-14T08:39:00Z,2025-01-14T08:36:06Z,read,EEA10001,Stellantis1,Stellantis1,5,4,6,8,-65,-70,-73,-74,8,4,3.430257521916782,1.2464234547582214,near,near
,,0,2025-01-14T08:36:00Z,2025-01-14T08:39:00Z,2025-01-14T08:36:08Z,read,EEA10001,Stellantis1,Stellantis1,5,4,6,6,-70,-70,-74,-76,4,6,1.5491933384829668,2.0412414523193165,near,near
,,0,2025-01-14T08:36:00Z,2025-01-14T08:39:00Z,2025-01-14T08:36:10Z,read,EEA10001,Stellantis1,Stellantis1,4,4,5,9,-65,-72,-75,-79,10,7,4.764451699828637,2.061552812808829,near,near
,,0,2025-01-14T08:36:00Z,2025-01-14T08:39:00Z,2025-01-14T08:36:12Z,read,EEA10001,Stellantis1,Stellantis1,5,6,4,9,-63,-67,-79,-74,16,7,6.831300510639732,2.121320343559642,near,near
,,0,2025-01-14T08:36:00Z,2025-01-14T08:39:00Z,2025-01-14T08:36:14Z,read,EEA10001,Stellantis1,Stellantis1,4,6,4,3,-69,-70,-77,-77,8,7,4.082482904638628,3.511884584284246,near,near
,,0,2025-01-14T08:36:00Z,2025-01-14T08:39:00Z,2025-01-14T08:36:16Z,read,EEA10001,Stellantis1,Stellantis1,4,3,7,,-69,,-74,,5,,2.14919697074224,,near,near
,,0,2025-01-14T08:36:00Z,2025-01-14T08:39:00Z,2025-01-14T08:36:18Z,read,EEA10001,Stellantis1,Stellantis1,6,,4,,-69,,-77,,8,,3.4156502553198678,,near,near
,,0,2025-01-14T08:36:00Z,2025-01-14T08:39:00Z,2025-01-14T08:36:20Z,read,EEA10001,Stellantis1,Stellantis1,4,,3,9,-75,-68,-78,-76,3,8,1.5275252316519452,3.316624790355399,near,near
,,0,2025-01-14T08:36:00Z,2025-01-14T08:39:00Z,2025-01-14T08:36:22Z,read,EEA10001,Stellantis1,Stellantis1,2,6,4,1,-71,-75,-75,-75,4,0,1.8257418583505545,,near,near
,,0,2025-01-14T08:36:00Z,2025-01-14T08:39:00Z,2025-01-14T08:36:24Z,read,EEA10001,Stellantis1,Stellantis1,3,1,1,4,-72,-71,-72,-74,0,3,,1.4142135623730958,near,near
,,0,2025-01-14T08:36:00Z,2025-01-14T08:39:00Z,2025-01-14T08:36:26Z,read,EEA10001,Stellantis1,Stellantis1,1,4,8,7,-68,-71,-74,-77,6,6,1.9999999999999993,1.8644544714716083,near,near
,,0,2025-01-14T08:36:00Z,2025-01-14T08:39:00Z,2025-01-14T08:36:28Z,read,EEA10001,Stellantis1,Stellantis1,6,5,5,3,-72,-74,-74,-77,2,3,0.8944271909999167,1.7320508075688772,near,near
,,0,2025-01-14T08:36:00Z,2025-01-14T08:39:00Z,2025-01-14T08:36:30Z,read,EEA10001,Stellantis1,Stellantis1,4,3,1,3,-71,-72,-71,-74,0,2,,1,near,near
,,0,2025-01-14T08:36:00Z,2025-01-14T08:39:00Z,2025-01-14T08:36:32Z,read,EEA10001,Stellantis1,Stellantis1,1,3,5,4,-66,-73,-78,-76,12,3,5.21536192416212,1.4142135623730943,near,near
,,0,2025-01-14T08:36:00Z,2025-01-14T08:39:00Z,2025-01-14T08:36:34Z,read,EEA10001,Stellantis1,Stellantis1,4,3,4,4,-69,-73,-77,-77,8,4,4.618802153517004,1.7320508075688787,near,near
,,0,2025-01-14T08:36:00Z,2025-01-14T08:39:00Z,2025-01-14T08:36:36Z,read,EEA10001,Stellantis1,Stellantis1,4,3,4,8,-65,-68,-78,-75,13,7,5.715476066494083,2.3260942125619684,near,near
,,0,2025-01-14T08:36:00Z,2025-01-14T08:39:00Z,2025-01-14T08:36:38Z,read,EEA10001,Stellantis1,Stellantis1,3,6,5,11,-70,-65,-74,-77,4,12,1.5811388300841882,4.500505022166452,near,near
,,0,2025-01-14T08:36:00Z,2025-01-14T08:39:00Z,2025-01-14T08:36:40Z,read,EEA10001,Stellantis1,Stellantis1,5,8,7,8,-67,-69,-76,-76,9,7,3.2586880211286893,2.2038926600773596,near,near
,,0,2025-01-14T08:36:00Z,2025-01-14T08:39:00Z,2025-01-14T08:36:42Z,read,EEA10001,Stellantis1,Stellantis1,4,6,6,6,-63,-68,-77,-78,14,10,4.9799598391954945,4.033195589934445,near,near
,,0,2025-01-14T08:36:00Z,2025-01-14T08:39:00Z,2025-01-14T08:36:44Z,read,EEA10001,Stellantis1,Stellantis1,6,5,11,6,-64,-74,-78,-78,14,4,4.390071442781687,1.5055453054181602,near,near
,,0,2025-01-14T08:36:00Z,2025-01-14T08:39:00Z,2025-01-14T08:36:46Z,read,EEA10001,Stellantis1,Stellantis1,6,5,3,5,-63,-72,-76,-81,13,9,6.506407098647713,3.2403703492039293,near,near
,,0,2025-01-14T08:36:00Z,2025-01-14T08:39:00Z,2025-01-14T08:36:48Z,read,EEA10001,Stellantis1,Stellantis1,3,5,3,6,-69,-70,-74,-73,5,3,2.6457513110645907,1.5055453054181624,near,near
