,result,table,_start,_stop,_time,_measurement,antenna,epc,gate,reader,freq_count,rssi_count,rssi_max,rssi_min,rssi_spread,rssi_stdev,zone
,,0,2025-01-13T09:44:14.5773443Z,2025-01-13T10:44:14.5773443Z,2025-01-13T10:31:32Z,read,1,EEA10001,Stellantis1,Stellantis1,5,8,-76,-79,3,1.1952286093343925,near
,,0,2025-01-13T09:44:14.5773443Z,2025-01-13T10:44:14.5773443Z,2025-01-13T10:31:34Z,read,1,EEA10001,Stellantis1,Stellantis1,5,12,-76,-80,4,1.267304464625844,near
,,0,2025-01-13T09:44:14.5773443Z,2025-01-13T10:44:14.5773443Z,2025-01-13T10:31:36Z,read,1,EEA10001,Stellantis1,Stellantis1,5,8,-77,-78,1,0.3535533905932738,near
,,0,2025-01-13T09:44:14.5773443Z,2025-01-13T10:44:14.5773443Z,2025-01-13T10:31:38Z,read,1,EEA10001,Stellantis1,Stellantis1,5,7,-76,-78,2,0.8997354108424367,near
,,0,2025-01-13T09:44:14.5773443Z,2025-01-13T10:44:14.5773443Z,2025-01-13T10:31:40Z,read,1,EEA10001,Stellantis1,Stellantis1,4,5,-77,-78,1,0.5477225575051652,near
,,0,2025-01-13T09:44:14.5773443Z,2025-01-13T10:44:14.5773443Z,2025-01-13T10:31:42Z,read,1,EEA10001,Stellantis1,Stellantis1,4,13,-74,-79,5,1.4632243987255134,near
,,0,2025-01-13T09:44:14.5773443Z,2025-01-13T10:44:14.5773443Z,2025-01-13T10:31:44Z,read,1,EEA10001,Stellantis1,Stellantis1,3,7,-76,-78,2,0.816496580927726,near
,,0,2025-01-13T09:44:14.5773443Z,2025-01-13T10:44:14.5773443Z,2025-01-13T10:31:46Z,read,1,EEA10001,Stellantis1,Stellantis1,4,10,-76,-78,2,0.8164965809277276,near
,,0,2025-01-13T09:44:14.5773443Z,2025-01-13T10:44:14.5773443Z,2025-01-13T10:31:48Z,read,1,EEA10001,Stellantis1,Stellantis1,5,1,-77,-77,0,,near
,,0,2025-01-13T09:44:14.5773443Z,2025-01-13T10:44:14.5773443Z,2025-01-13T10:31:50Z,read,1,EEA10001,Stellantis1,Stellantis1,1,8,-75,-78,3,1.069044967649699,near
,,0,2025-01-13T09:44:14.5773443Z,2025-01-13T10:44:14.5773443Z,2025-01-13T10:31:52Z,read,1,EEA10001,Stellantis1,Stellantis1,4,11,-75,-78,3,1.0357254813546248,near
,,0,2025-01-13T09:44:14.5773443Z,2025-01-13T10:44:14.5773443Z,2025-01-13T10:31:54Z,read,1,EEA10001,Stellantis1,Stellantis1,4,9,-77,-80,3,0.8333333333333339,near
,,0,2025-01-13T09:44:14.5773443Z,2025-01-13T10:44:14.5773443Z,2025-01-13T10:31:56Z,read,1,EEA10001,Stellantis1,Stellantis1,5,5,-77,-78,1,0.5477225575051643,near
,,0,2025-01-13T09:44:14.5773443Z,2025-01-13T10:44:14.5773443Z,2025-01-13T10:31:58Z,read,1,EEA10001,Stellantis1,Stellantis1,3,11,-75,-80,5,1.2504544628399579,near
,,0,2025-01-13T09:44:14.5773443Z,2025-01-13T10:44:14.5773443Z,2025-01-13T10:32:00Z,read,1,EEA10001,Stellantis1,Stellantis1,5,10,-75,-80,5,1.5092308563562347,near
,,0,2025-01-13T09:44:14.5773443Z,2025-01-13T10:44:14.5773443Z,2025-01-13T10:32:02Z,read,1,EEA10001,Stellantis1,Stellantis1,5,4,-76,-78,2,1,near
,,0,2025-01-13T09:44:14.5773443Z,2025-01-13T10:44:14.5773443Z,2025-01-13T10:32:04Z,read,1,EEA10001,Stellantis1,Stellantis1,4,6,-76,-78,2,0.9831920802501746,near
,,0,2025-01-13T09:44:14.5773443Z,2025-01-13T10:44:14.5773443Z,2025-01-13T10:32:06Z,read,1,EEA10001,Stellantis1,Stellantis1,4,8,-75,-77,2,0.8864052604279188,near
