,result,table,_start,_stop,_time,_measurement,antenna,epc,gate,reader,freq_count,rssi_count,rssi_max,rssi_min,rssi_spread,rssi_stdev,zone
,,0,2025-01-09T23:49:05.3620751Z,2025-01-10T11:49:05.3620751Z,2025-01-10T10:09:42Z,read,1,EEA10001,Stellantis1,Stellantis1,2,6,-77,-81,4,1.3662601021279464,near
,,0,2025-01-09T23:49:05.3620751Z,2025-01-10T11:49:05.3620751Z,2025-01-10T10:09:44Z,read,1,EEA10001,Stellantis1,Stellantis1,4,5,-79,-81,2,1,near
,,0,2025-01-09T23:49:05.3620751Z,2025-01-10T11:49:05.3620751Z,2025-01-10T10:09:46Z,read,1,EEA10001,Stellantis1,Stellantis1,3,7,-79,-83,4,1.463850109422798,near
,,0,2025-01-09T23:49:05.3620751Z,2025-01-10T11:49:05.3620751Z,2025-01-10T10:09:48Z,read,1,EEA10001,Stellantis1,Stellantis1,4,9,-68,-83,15,4.358898943540678,near
,,0,2025-01-09T23:49:05.3620751Z,2025-01-10T11:49:05.3620751Z,2025-01-10T10:09:50Z,read,1,EEA10001,Stellantis1,Stellantis1,6,11,-70,-82,12,3.0777796010642597,near
,,0,2025-01-09T23:49:05.3620751Z,2025-01-10T11:49:05.3620751Z,2025-01-10T10:09:52Z,read,1,EEA10001,Stellantis1,Stellantis1,6,12,-61,-80,19,6.020168124099552,near
,,0,2025-01-09T23:49:05.3620751Z,2025-01-10T11:49:05.3620751Z,2025-01-10T10:09:54Z,read,1,EEA10001,Stellantis1,Stellantis1,8,6,-59,-65,6,2.31660671385254,near
,,0,2025-01-09T23:49:05.3620751Z,2025-01-10T11:49:05.3620751Z,2025-01-10T10:09:56Z,read,1,EEA10001,Stellantis1,Stellantis1,5,10,-63,-78,15,4.643992535164832,near
,,0,2025-01-09T23:49:05.3620751Z,2025-01-10T11:49:05.3620751Z,2025-01-10T10:09:58Z,read,1,EEA10001,Stellantis1,Stellantis1,8,17,-61,-81,20,5.978515456099746,near
,,0,2025-01-09T23:49:05.3620751Z,2025-01-10T11:49:05.3620751Z,2025-01-10T10:10:00Z,read,1,EEA10001,Stellantis1,Stellantis1,9,9,-64,-71,7,2.587362449376671,near
,,0,2025-01-09T23:49:05.3620751Z,2025-01-10T11:49:05.3620751Z,2025-01-10T10:10:02Z,read,1,EEA10001,Stellantis1,Stellantis1,7,9,-64,-76,12,4.272001872658767,near
,,0,2025-01-09T23:49:05.3620751Z,2025-01-10T11:49:05.3620751Z,2025-01-10T10:10:04Z,read,1,EEA10001,Stellantis1,Stellantis1,6,11,-66,-76,10,3.487640515253308,near
,,0,2025-01-09T23:49:05.3620751Z,2025-01-10T11:49:05.3620751Z,2025-01-10T10:10:06Z,read,1,EEA10001,Stellantis1,Stellantis1,5,12,-64,-80,16,5.696224161404616,near
,,0,2025-01-09T23:49:05.3620751Z,2025-01-10T11:49:05.3620751Z,2025-01-10T10:10:08Z,read,1,EEA10001,Stellantis1,Stellantis1,7,13,-67,-79,12,3.4006032647315,near
,,0,2025-01-09T23:49:05.3620751Z,2025-01-10T11:49:05.3620751Z,2025-01-10T10:10:10Z,read,1,EEA10001,Stellantis1,Stellantis1,8,11,-63,-77,14,4.52668853478004,near
,,0,2025-01-09T23:49:05.3620751Z,2025-01-10T11:49:05.3620751Z,2025-01-10T10:10:12Z,read,1,EEA10001,Stellantis1,Stellantis1,7,14,-65,-78,13,3.934211735280904,near
,,0,2025-01-09T23:49:05.3620751Z,2025-01-10T11:49:05.3620751Z,2025-01-10T10:10:14Z,read,1,EEA10001,Stellantis1,Stellantis1,9,11,-64,-70,6,2.1825756260978393,near
,,0,2025-01-09T23:49:05.3620751Z,2025-01-10T11:49:05.3620751Z,2025-01-10T10:10:16Z,read,1,EEA10001,Stellantis1,Stellantis1,8,6,-66,-73,7,2.422120283277996,near
,,0,2025-01-09T23:49:05.3620751Z,2025-01-10T11:49:05.3620751Z,2025-01-10T10:10:18Z,read,1,EEA10001,Stellantis1,Stellantis1,5,14,-66,-75,9,3.344669368833521,near
