,result,table,_start,_stop,_time,_measurement,antenna,epc,gate,reader,freq_count,rssi_count,rssi_max,rssi_min,rssi_spread,rssi_stdev,zone
,,0,2025-01-10T01:59:23.6763317Z,2025-01-10T13:59:23.6763317Z,2025-01-10T13:50:24Z,read,1,EEA10001,Stellantis1,Stellantis1,1,2,-72,-72,0,0,near
,,0,2025-01-10T01:59:23.6763317Z,2025-01-10T13:59:23.6763317Z,2025-01-10T13:50:34Z,read,1,EEA10001,Stellantis1,Stellantis1,5,3,-72,-76,4,2,near
,,0,2025-01-10T01:59:23.6763317Z,2025-01-10T13:59:23.6763317Z,2025-01-10T13:50:40Z,read,1,EEA10001,Stellantis1,Stellantis1,1,1,-72,-72,0,,near
,,0,2025-01-10T01:59:23.6763317Z,2025-01-10T13:59:23.6763317Z,2025-01-10T13:50:22Z,read,1,EEA10001,Stellantis1,Stellantis1,,1,-70,-70,0,,near
,,0,2025-01-10T01:59:23.6763317Z,2025-01-10T13:59:23.6763317Z,2025-01-10T13:50:28Z,read,1,EEA10001,Stellantis1,Stellantis1,,1,-70,-70,0,,near
,,0,2025-01-10T01:59:23.6763317Z,2025-01-10T13:59:23.6763317Z,2025-01-10T13:50:32Z,read,1,EEA10001,Stellantis1,Stellantis1,,8,-69,-76,7,2.4348657927227575,near
,,0,2025-01-10T01:59:23.6763317Z,2025-01-10T13:59:23.6763317Z,2025-01-10T13:50:38Z,read,1,EEA10001,Stellantis1,Stellantis1,,1,-77,-77,0,,near
,,0,2025-01-10T01:59:23.6763317Z,2025-01-10T13:59:23.6763317Z,2025-01-10T13:50:48Z,read,1,EEA10001,Stellantis1,Stellantis1,,2,-69,-73,4,2.8284271247461903,near
,,0,2025-01-10T01:59:23.6763317Z,2025-01-10T13:59:23.6763317Z,2025-01-10T13:51:40Z,read,1,EEA10001,Stellantis1,Stellantis1,,3,-76,-83,7,3.7859388972001837,med
,,0,2025-01-10T01:59:23.6763317Z,2025-01-10T13:59:23.6763317Z,2025-01-10T13:52:06Z,read,1,EEA10001,Stellantis1,Stellantis1,,3,-74,-76,2,1.1547005383792526,med
,,0,2025-01-10T01:59:23.6763317Z,2025-01-10T13:59:23.6763317Z,2025-01-10T13:53:04Z,read,1,EEA10001,Stellantis1,Stellantis1,,1,-75,-75,0,,far
,,0,2025-01-10T01:59:23.6763317Z,2025-01-10T13:59:23.6763317Z,2025-01-10T13:53:12Z,read,1,EEA10001,Stellantis1,Stellantis1,,3,-75,-78,3,1.5275252316519485,far
,,1,2025-01-10T01:59:23.6763317Z,2025-01-10T13:59:23.6763317Z,2025-01-10T13:50:04Z,read,1,EEA12222,Stellantis1,Stellantis1,5,28,-66,-68,2,0.37796447300922786,near
,,1,2025-01-10T01:59:23.6763317Z,2025-01-10T13:59:23.6763317Z,2025-01-10T13:50:06Z,read,1,EEA12222,Stellantis1,Stellantis1,5,25,-66,-68,2,0.6110100926607784,near
,,1,2025-01-10T01:59:23.6763317Z,2025-01-10T13:59:23.6763317Z,2025-01-10T13:50:08Z,read,1,EEA12222,Stellantis1,Stellantis1,5,26,-66,-68,2,0.6275716324421896,near
,,1,2025-01-10T01:59:23.6763317Z,2025-01-10T13:59:23.6763317Z,2025-01-10T13:50:10Z,read,1,EEA12222,Stellantis1,Stellantis1,5,25,-66,-68,2,0.4396968652757651,near
,,1,2025-01-10T01:59:23.6763317Z,2025-01-10T13:59:23.6763317Z,2025-01-10T13:50:12Z,read,1,EEA12222,Stellantis1,Stellantis1,5,25,-66,-68,2,0.577350269189627,near
,,1,2025-01-10T01:59:23.6763317Z,2025-01-10T13:59:23.6763317Z,2025-01-10T13:50:14Z,read,1,EEA12222,Stellantis1,Stellantis1,5,25,-66,-70,4,1.0908712114635712,near
,,1,2025-01-10T01:59:23.6763317Z,2025-01-10T13:59:23.6763317Z,2025-01-10T13:50:16Z,read,1,EEA12222,Stellantis1,Stellantis1,5,39,-56,-70,14,3.7052321032927535,near
,,1,2025-01-10T01:59:23.6763317Z,2025-01-10T13:59:23.6763317Z,2025-01-10T13:50:18Z,read,1,EEA12222,Stellantis1,Stellantis1,9,43,-58,-74,16,3.2319007912144366,near
,,1,2025-01-10T01:59:23.6763317Z,2025-01-10T13:59:23.6763317Z,2025-01-10T13:50:20Z,read,1,EEA12222,Stellantis1,Stellantis1,9,18,-62,-73,11,3.1164753008252077,near
,,1,2025-01-10T01:59:23.6763317Z,2025-01-10T13:59:23.6763317Z,2025-01-10T13:50:22Z,read,1,EEA12222,Stellantis1,Stellantis1,9,22,-57,-72,15,5.261145662272969,near
,,1,2025-01-10T01:59:23.6763317Z,2025-01-10T13:59:23.6763317Z,2025-01-10T13:50:24Z,read,1,EEA12222,Stellantis1,Stellantis1,9,29,-60,-70,10,2.525242026151237,near
,,1,2025-01-10T01:59:23.6763317Z,2025-01-10T13:59:23.6763317Z,2025-01-10T13:50:26Z,read,1,EEA12222,Stellantis1,Stellantis1,9,47,-61,-71,10,3.2880519835365236,near
,,1,2025-01-10T01:59:23.6763317Z,2025-01-10T13:59:23.6763317Z,2025-01-10T13:50:28Z,read,1,EEA12222,Stellantis1,Stellantis1,9,43,-56,-74,18,4.994903271660497,near
,,1,2025-01-10T01:59:23.6763317Z,2025-01-10T13:59:23.6763317Z,2025-01-10T13:50:30Z,read,1,EEA12222,Stellantis1,Stellantis1,9,5,-68,-70,2,1.0954451150103328,near
,,1,2025-01-10T01:59:23.6763317Z,2025-01-10T13:59:23.6763317Z,2025-01-10T13:50:32Z,read,1,EEA12222,Stellantis1,Stellantis1,3,11,-62,-66,4,1.3003496033409987,near
,,1,2025-01-10T01:59:23.6763317Z,2025-01-10T13:59:23.6763317Z,2025-01-10T13:50:34Z,read,1,EEA12222,Stellantis1,Stellantis1,4,26,-60,-69,9,2.0034585480728455,near
,,1,2025-01-10T01:59:23.6763317Z,2025-01-10T13:59:23.6763317Z,2025-01-10T13:50:36Z,read,1,EEA12222,Stellantis1,Stellantis1,8,40,-58,-73,15,3.240765974667733,near
,,1,2025-01-10T01:59:23.6763317Z,2025-01-10T13:59:23.6763317Z,2025-01-10T13:50:38Z,read,1,EEA12222,Stellantis1,Stellantis1,9,29,-58,-74,16,4.135929318792724,near
,,1,2025-01-10T01:59:23.6763317Z,2025-01-10T13:59:23.6763317Z,2025-01-10T13:50:40Z,read,1,EEA12222,Stellantis1,Stellantis1,9,6,-62,-69,7,2.581988897471612,near
,,1,2025-01-10T01:59:23.6763317Z,2025-01-10T13:59:23.6763317Z,2025-01-10T13:50:42Z,read,1,EEA12222,Stellantis1,Stellantis1,5,50,-59,-72,13,4.1960136572996145,near
,,1,2025-01-10T01:59:23.6763317Z,2025-01-10T13:59:23.6763317Z,2025-01-10T13:50:44Z,read,1,EEA12222,Stellantis1,Stellantis1,9,43,-59,-74,15,3.5412456592971044,near
,,1,2025-01-10T01:59:23.6763317Z,2025-01-10T13:59:23.6763317Z,2025-01-10T13:50:46Z,read,1,EEA12222,Stellantis1,Stellantis1,9,34,-63,-74,11,3.3008668445021665,near
,,1,2025-01-10T01:59:23.6763317Z,2025-01-10T13:59:23.6763317Z,2025-01-10T13:50:48Z,read,1,EEA12222,Stellantis1,Stellantis1,9,39,-57,-71,14,3.4015952437685995,near
