,result,table,_start,_stop,_time,_measurement,antenna,epc,gate,reader,freq_count,rssi_count,rssi_max,rssi_min,rssi_spread,rssi_stdev,zone
,,0,2025-01-10T01:31:40.0940363Z,2025-01-10T13:31:40.0940363Z,2025-01-10T13:22:58Z,read,1,EEA10001,Stellantis1,Stellantis1,5,2,-74,-76,2,1.4142135623730951,near
,,0,2025-01-10T01:31:40.0940363Z,2025-01-10T13:31:40.0940363Z,2025-01-10T13:23:00Z,read,1,EEA10001,Stellantis1,Stellantis1,2,12,-70,-77,7,1.9462473604038084,near
,,0,2025-01-10T01:31:40.0940363Z,2025-01-10T13:31:40.0940363Z,2025-01-10T13:23:02Z,read,1,EEA10001,Stellantis1,Stellantis1,5,4,-71,-77,6,2.5166114784235845,near
,,0,2025-01-10T01:31:40.0940363Z,2025-01-10T13:31:40.0940363Z,2025-01-10T13:23:10Z,read,1,EEA10001,Stellantis1,Stellantis1,1,3,-73,-78,5,2.516611478423583,near
,,0,2025-01-10T01:31:40.0940363Z,2025-01-10T13:31:40.0940363Z,2025-01-10T13:23:22Z,read,1,EEA10001,Stellantis1,Stellantis1,2,1,-75,-75,0,,near
,,0,2025-01-10T01:31:40.0940363Z,2025-01-10T13:31:40.0940363Z,2025-01-10T13:23:24Z,read,1,EEA10001,Stellantis1,Stellantis1,1,3,-71,-77,6,3.0550504633038913,near
,,0,2025-01-10T01:31:40.0940363Z,2025-01-10T13:31:40.0940363Z,2025-01-10T13:23:30Z,read,1,EEA10001,Stellantis1,Stellantis1,2,5,-70,-74,4,1.5165750888103098,near
,,0,2025-01-10T01:31:40.0940363Z,2025-01-10T13:31:40.0940363Z,2025-01-10T13:23:36Z,read,1,EEA10001,Stellantis1,Stellantis1,3,4,-73,-76,3,1.2909944487358056,near
,,0,2025-01-10T01:31:40.0940363Z,2025-01-10T13:31:40.0940363Z,2025-01-10T13:25:30Z,read,1,EEA10001,Stellantis1,Stellantis1,2,2,-75,-77,2,1.4142135623730951,med
,,0,2025-01-10T01:31:40.0940363Z,2025-01-10T13:31:40.0940363Z,2025-01-10T13:27:18Z,read,1,EEA10001,Stellantis1,Stellantis1,1,1,-74,-74,0,,far
,,0,2025-01-10T01:31:40.0940363Z,2025-01-10T13:31:40.0940363Z,2025-01-10T13:27:20Z,read,1,EEA10001,Stellantis1,Stellantis1,1,1,-75,-75,0,,far
,,0,2025-01-10T01:31:40.0940363Z,2025-01-10T13:31:40.0940363Z,2025-01-10T13:27:22Z,read,1,EEA10001,Stellantis1,Stellantis1,1,2,-72,-73,1,0.7071067811865476,far
,,0,2025-01-10T01:31:40.0940363Z,2025-01-10T13:31:40.0940363Z,2025-01-10T13:28:04Z,read,1,EEA10001,Stellantis1,Stellantis1,2,3,-76,-78,2,1.1547005383792526,far
,,0,2025-01-10T01:31:40.0940363Z,2025-01-10T13:31:40.0940363Z,2025-01-10T13:22:40Z,read,1,EEA10001,Stellantis1,Stellantis1,,2,-68,-69,1,0.7071067811865476,near
,,0,2025-01-10T01:31:40.0940363Z,2025-01-10T13:31:40.0940363Z,2025-01-10T13:22:48Z,read,1,EEA10001,Stellantis1,Stellantis1,,1,-72,-72,0,,near
,,0,2025-01-10T01:31:40.0940363Z,2025-01-10T13:31:40.0940363Z,2025-01-10T13:22:56Z,read,1,EEA10001,Stellantis1,Stellantis1,,7,-71,-78,7,2.544836041121406,near
,,0,2025-01-10T01:31:40.0940363Z,2025-01-10T13:31:40.0940363Z,2025-01-10T13:23:08Z,read,1,EEA10001,Stellantis1,Stellantis1,,1,-74,-74,0,,near
,,0,2025-01-10T01:31:40.0940363Z,2025-01-10T13:31:40.0940363Z,2025-01-10T13:23:14Z,read,1,EEA10001,Stellantis1,Stellantis1,,4,-73,-76,3,1.7320508075688772,near
,,0,2025-01-10T01:31:40.0940363Z,2025-01-10T13:31:40.0940363Z,2025-01-10T13:23:20Z,read,1,EEA10001,Stellantis1,Stellantis1,,2,-80,-80,0,0,near
,,0,2025-01-10T01:31:40.0940363Z,2025-01-10T13:31:40.0940363Z,2025-01-10T13:23:28Z,read,1,EEA10001,Stellantis1,Stellantis1,,2,-71,-72,1,0.7071067811865476,near
,,0,2025-01-10T01:31:40.0940363Z,2025-01-10T13:31:40.0940363Z,2025-01-10T13:23:34Z,read,1,EEA10001,Stellantis1,Stellantis1,,3,-77,-81,4,2,near
,,0,2025-01-10T01:31:40.0940363Z,2025-01-10T13:31:40.0940363Z,2025-01-10T13:23:40Z,read,1,EEA10001,Stellantis1,Stellantis1,,1,-74,-74,0,,near
,,0,2025-01-10T01:31:40.0940363Z,2025-01-10T13:31:40.0940363Z,2025-01-10T13:25:00Z,read,1,EEA10001,Stellantis1,Stellantis1,,1,-77,-77,0,,med
,,0,2025-01-10T01:31:40.0940363Z,2025-01-10T13:31:40.0940363Z,2025-01-10T13:25:06Z,read,1,EEA10001,Stellantis1,Stellantis1,,5,-74,-78,4,1.6733200530681502,med
,,0,2025-01-10T01:31:40.0940363Z,2025-01-10T13:31:40.0940363Z,2025-01-10T13:25:12Z,read,1,EEA10001,Stellantis1,Stellantis1,,3,-76,-78,2,1,med
,,0,2025-01-10T01:31:40.0940363Z,2025-01-10T13:31:40.0940363Z,2025-01-10T13:25:28Z,read,1,EEA10001,Stellantis1,Stellantis1,,2,-72,-72,0,0,med
,,0,2025-01-10T01:31:40.0940363Z,2025-01-10T13:31:40.0940363Z,2025-01-10T13:25:34Z,read,1,EEA10001,Stellantis1,Stellantis1,,1,-78,-78,0,,med
,,0,2025-01-10T01:31:40.0940363Z,2025-01-10T13:31:40.0940363Z,2025-01-10T13:25:46Z,read,1,EEA10001,Stellantis1,Stellantis1,,1,-81,-81,0,,med
