,result,table,_start,_stop,_time,_measurement,antenna,epc,gate,reader,freq_count,rssi_count,rssi_max,rssi_min,rssi_spread,rssi_stdev,zone
,,0,2025-01-10T00:56:38.0591888Z,2025-01-10T12:56:38.0591888Z,2025-01-10T10:09:41Z,read,1,EEA10001,Stellantis1,Stellantis1,2,3,-77,-81,4,2,near
,,0,2025-01-10T00:56:38.0591888Z,2025-01-10T12:56:38.0591888Z,2025-01-10T10:09:42Z,read,1,EEA10001,Stellantis1,Stellantis1,3,3,-79,-80,1,0.5773502691896278,near
,,0,2025-01-10T00:56:38.0591888Z,2025-01-10T12:56:38.0591888Z,2025-01-10T10:09:43Z,read,1,EEA10001,Stellantis1,Stellantis1,3,2,-79,-81,2,1.4142135623730951,near
,,0,2025-01-10T00:56:38.0591888Z,2025-01-10T12:56:38.0591888Z,2025-01-10T10:09:44Z,read,1,EEA10001,Stellantis1,Stellantis1,2,3,-79,-81,2,1,near
,,0,2025-01-10T00:56:38.0591888Z,2025-01-10T12:56:38.0591888Z,2025-01-10T10:09:45Z,read,1,EEA10001,Stellantis1,Stellantis1,2,2,-80,-81,1,0.7071067811865476,near
,,0,2025-01-10T00:56:38.0591888Z,2025-01-10T12:56:38.0591888Z,2025-01-10T10:09:46Z,read,1,EEA10001,Stellantis1,Stellantis1,2,5,-79,-83,4,1.7320508075688785,near
,,0,2025-01-10T00:56:38.0591888Z,2025-01-10T12:56:38.0591888Z,2025-01-10T10:09:47Z,read,1,EEA10001,Stellantis1,Stellantis1,4,4,-78,-83,5,2.217355782608345,near
,,0,2025-01-10T00:56:38.0591888Z,2025-01-10T12:56:38.0591888Z,2025-01-10T10:09:48Z,read,1,EEA10001,Stellantis1,Stellantis1,4,5,-68,-81,13,5.263078946776306,near
,,0,2025-01-10T00:56:38.0591888Z,2025-01-10T12:56:38.0591888Z,2025-01-10T10:09:49Z,read,1,EEA10001,Stellantis1,Stellantis1,5,6,-70,-82,12,4.033195589934446,near
,,0,2025-01-10T00:56:38.0591888Z,2025-01-10T12:56:38.0591888Z,2025-01-10T10:09:50Z,read,1,EEA10001,Stellantis1,Stellantis1,5,5,-75,-79,4,1.7888543819998315,near
,,0,2025-01-10T00:56:38.0591888Z,2025-01-10T12:56:38.0591888Z,2025-01-10T10:09:51Z,read,1,EEA10001,Stellantis1,Stellantis1,4,4,-74,-80,6,2.8284271247461903,near
,,0,2025-01-10T00:56:38.0591888Z,2025-01-10T12:56:38.0591888Z,2025-01-10T10:09:52Z,read,1,EEA10001,Stellantis1,Stellantis1,4,8,-61,-69,8,2.7255405754769892,near
,,0,2025-01-10T00:56:38.0591888Z,2025-01-10T12:56:38.0591888Z,2025-01-10T10:09:53Z,read,1,EEA10001,Stellantis1,Stellantis1,8,3,-59,-62,3,1.5275252316519456,near
,,0,2025-01-10T00:56:38.0591888Z,2025-01-10T12:56:38.0591888Z,2025-01-10T10:09:54Z,read,1,EEA10001,Stellantis1,Stellantis1,2,3,-63,-65,2,1,near
,,0,2025-01-10T00:56:38.0591888Z,2025-01-10T12:56:38.0591888Z,2025-01-10T10:09:55Z,read,1,EEA10001,Stellantis1,Stellantis1,3,3,-63,-64,1,0.5773502691896263,near
,,0,2025-01-10T00:56:38.0591888Z,2025-01-10T12:56:38.0591888Z,2025-01-10T10:09:56Z,read,1,EEA10001,Stellantis1,Stellantis1,3,7,-66,-78,12,4.111540089159037,near
,,0,2025-01-10T00:56:38.0591888Z,2025-01-10T12:56:38.0591888Z,2025-01-10T10:09:57Z,read,1,EEA10001,Stellantis1,Stellantis1,7,8,-61,-81,20,6.886840453253687,near
,,0,2025-01-10T00:56:38.0591888Z,2025-01-10T12:56:38.0591888Z,2025-01-10T10:09:58Z,read,1,EEA10001,Stellantis1,Stellantis1,6,9,-63,-78,15,5.348935511960397,near
,,0,2025-01-10T00:56:38.0591888Z,2025-01-10T12:56:38.0591888Z,2025-01-10T10:09:59Z,read,1,EEA10001,Stellantis1,Stellantis1,8,4,-64,-71,7,2.9860788111948193,near
,,0,2025-01-10T00:56:38.0591888Z,2025-01-10T12:56:38.0591888Z,2025-01-10T10:10:00Z,read,1,EEA10001,Stellantis1,Stellantis1,4,5,-64,-69,5,2.1908902300206643,near
,,0,2025-01-10T00:56:38.0591888Z,2025-01-10T12:56:38.0591888Z,2025-01-10T10:10:01Z,read,1,EEA10001,Stellantis1,Stellantis1,4,4,-66,-76,10,4.272001872658765,near
,,0,2025-01-10T00:56:38.0591888Z,2025-01-10T12:56:38.0591888Z,2025-01-10T10:10:02Z,read,1,EEA10001,Stellantis1,Stellantis1,4,5,-64,-76,12,4.549725266430932,near
,,0,2025-01-10T00:56:38.0591888Z,2025-01-10T12:56:38.0591888Z,2025-01-10T10:10:03Z,read,1,EEA10001,Stellantis1,Stellantis1,4,5,-69,-76,7,3.271085446759225,near
,,0,2025-01-10T00:56:38.0591888Z,2025-01-10T12:56:38.0591888Z,2025-01-10T10:10:04Z,read,1,EEA10001,Stellantis1,Stellantis1,4,6,-66,-73,7,2.9268868558020262,near
